Nation,Name ,Style,Singer,History,link
Japan,Sukiyaki,Traditional / Folk,Kyu Sakamoto,"La musique traditionnelle de Japan s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Kyu Sakamoto, « Sukiyaki » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=wzDjDJCbS7U
Kazakhstan,Kazakhstan - The Sound of Dombra,Dombra / folk,Traditional / Various,"La musique traditionnelle de Kazakhstan s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants.",https://www.youtube.com/watch?v=TCKWy8BTMQE
Kenya,Sura Yako,Traditional / Folk,Sauti Sol,"Les musiques traditionnelles de Kenya reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Sauti Sol, « Sura Yako » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=lEJw64Zl28U
Kyrgyzstan,Kyrgyz Jiri,Traditional / Folk,Salamat Sadikova,"La musique traditionnelle de Kyrgyzstan s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Salamat Sadikova, « Kyrgyz Jiri » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=905X5Th_ba8
Cambodia,Champa Battambang,Traditional / Folk,Sinn Sisamouth,"La musique traditionnelle de Cambodia s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Sinn Sisamouth, « Champa Battambang » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=bKz84VSknDg
Republic of Korea,Tiger is Coming,Traditional / Folk,Leenalchi,"À l'opposé de la K-Pop, ce groupe revisite le Pansori (récit chanté traditionnel) avec une basse funk, modernisant un folklore que la jeunesse avait oublié.",https://www.youtube.com/watch?v=vmIhY9k5KYM
Kuwait,Qada Omri,Traditional / Folk,Nawal El Kuwaitia,"La musique traditionnelle de Kuwait s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Nawal El Kuwaitia, « Qada Omri » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=_ry_WDr_yTI
LaoPDR,My Radio,Traditional / Folk,Alexandra Bounxouei,"La musique traditionnelle de LaoPDR s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Alexandra Bounxouei, « My Radio » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=xrFg1MU8jyM
Lebanon,Li Beirut,Traditional / Folk,Fairuz,"La musique traditionnelle de Lebanon s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Fairuz, « Li Beirut » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=cE9-W1nTWyw
Liberia,Bayjay,Traditional / Folk,Sundaygar Dearboy,"Les musiques traditionnelles de Liberia reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Sundaygar Dearboy, « Bayjay » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=1Eqoz4QzY4U
Libya,Soleil Soleil,Traditional / Folk,Ahmed Fakroun,"Les musiques traditionnelles de Libya reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Ahmed Fakroun, « Soleil Soleil » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=9jfKlfVk3O0
SriLanka,Manike Mage Hithe,Traditional / Folk,Yohani,"La musique traditionnelle de SriLanka s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Yohani, « Manike Mage Hithe » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=PgCliOxl41o
Lesotho,Bhudaza - Nomalizo,Traditional / Folk (Sesotho),Bhudaza Mapefane,"Les musiques traditionnelles de Lesotho reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Bhudaza, « Bophelo » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=aU1y39g3-8E
Lithuania,Trys Milijonai,Pop rock,Marijonas Mikutavičius,"Le répertoire folk de Lithuania est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Marijonas Mikutavičius, « Trys Milijonai » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=upucEgwjiJs
Luxembourg,Ech Si Lëtzebuerg,Folk rock / chanson,Serge Tonnar & Legotrip,"Le répertoire folk de Luxembourg est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Serge Tonnar & Legotrip, « Ech Si Lëtzebuerg » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=IhA68JWQoFk
Latvia,Maybe,Pop rock,Prāta Vētra (Brainstorm),"Le répertoire folk de Latvia est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Prāta Vētra (Brainstorm), « Maybe » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=J-CmEbXH90M
Morocco,Siniya,Chaâbi / folk marocain,Nass El Ghiwane,"Les musiques traditionnelles de Morocco reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Nass El Ghiwane, « Siniya » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=vo7TJPfCNcM
Moldova,Miorița,Ethno-rock,Zdob și Zdub,"Ils fusionnent le rock et le folklore roumano-moldave pour raconter la légende de la brebis (Miorița), pilier de l'identité paysanne face au destin.",https://www.youtube.com/watch?v=PHnsBuabEA0
Madagascar,Samy mandeha samy mitady,Salegy,Jaojoby,"Les musiques traditionnelles de Madagascar reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Jaojoby, « Samy Mandeha Samy Mitady » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=TJuCixXIpVA
Mexico,El Rey,Ranchera,Vicente Fernández,"La musique traditionnelle de Mexico reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Vicente Fernández, « El Rey » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=DjnhGwxQkFk
Macedonia,Igra bez granica,Pop ballad,Toše Proeski,"Le répertoire folk de Macedonia est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Toše Proeski, « Igri Bez Granici » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=VMT50KhLlRw
Mali,Ai Du,Desert blues,Ali Farka Touré,"Les musiques traditionnelles de Mali reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Ali Farka Touré, « Ai Du » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=6juTl3rtKKI
Myanmar,Thu Nge Chin Myar Swar,Pop birmane,Sai Sai Kham Leng,"La musique traditionnelle de Myanmar s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Sai Sai Kham Leng, « Thansin Myar Swar » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=c1MCcJYkPNM
Montenegro,Igranka,Hip-hop / electro,Who See feat. Nina Žižić,"Le répertoire folk de Montenegro est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Who See, « Igranka » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=FR9rtB2ilZU
Mongolia,Yuve Yuve Yu,Mongolian folk metal,The HU,"La musique traditionnelle de Mongolia s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par The Hu, « Yuve Yuve Yu » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=v4xZUr0BEfE
Mozambique,Majurugenta,Marrabenta,Ghorwane,"Les musiques traditionnelles de Mozambique reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Ghorwane, « Majurugenta » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=r90XWtaSq80
Mauritania,Yarab,Blues saharien,Malouma,"Les musiques traditionnelles de Mauritania reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Malouma, « Yarab » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=--LfYzCtW68
Malawi,Mabala,Afro-pop,Lucius Banda,"Les musiques traditionnelles de Malawi reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Lucius Banda, « Mabala » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=2Vjcuf5Bx1M
Malaysia,Cindai,Pop Melayu,Siti Nurhaliza,"La musique traditionnelle de Malaysia s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Siti Nurhaliza, « Cindai » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=dWFzE0NiGrI
Namibia,Wo Is Die Coolbox?,Kwaito / NamFlava,EES feat. Namany,"Les musiques traditionnelles de Namibia reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par EES, « Wo is de cooles? » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=qFSOmj3S2ts
Niger,Afrique Victime,Tuareg rock,Mdou Moctar,"Les musiques traditionnelles de Niger reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Mdou Moctar, « Afrique Victime » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=rnERiRvlw58
Nigeria,Ye,Afrobeats,Burna Boy,"Les musiques traditionnelles de Nigeria reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Burna Boy, « Ye » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=lPe09eE6Xio
Nicaragua,Pobre La María,Nueva canción / trova,Luis Enrique Mejía Godoy,"La musique traditionnelle de Nicaragua reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Luis Enrique Mejía Godoy, « Pobre la María » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=S-JSkG6HdrY
Norway,Helvegen (feat. Aurora) – Wardruna,Nordic folk / neofolk,Wardruna ft. Aurora,"Le répertoire folk de Norway est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Wardruna and Aurora, « Helvegen » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=n90SVmnomdM
Nepal,Euta Manche Ko Mayale Kati,Nepali adhunik (classique),Narayan Gopal,"La musique traditionnelle de Nepal s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Narayan Gopal, « Euta Manchhe Ko Maya Le » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=4xfUFn6mx9g
Oman,A'eeshak (أعيشك),Khaleeji pop,Salah Al Zadjali,"La musique traditionnelle de Oman s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Salah Al Zadjali, « Asis » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=wpW7p7Ny-Ko
Pakistan,Mere Rashke Qamar (Complete Original Version),Qawwali,Nusrat Fateh Ali Khan,"La musique traditionnelle de Pakistan s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Nusrat Fateh Ali Khan, « Rashke Qamar » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=N1hRTwBziwc
Panama,Pedro Navaja (Audio Oficial),Salsa,Willie Colón & Rubén Blades,"La musique traditionnelle de Panama reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Rubén Blades, « Pedro Navaja » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=5LqnbAkqRYQ
Peru,Taita Inty (Hymn of the Sun Virgin),Exotica / voix andine,Yma Sumac,"La musique traditionnelle de Peru reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Yma Sumac, « Taita Inty » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=zEUekceB5DQ
Philippines,Anak,Pinoy folk rock,Freddie Aguilar,"La musique traditionnelle de Philippines s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Freddie Aguilar, « Anak » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=-n-2lPzH7Do
PapuaNewGuinea,Anchor (Live at the APRA Awards),Alternative R&B / soul (live),D.I.G feat. Ngaiire & Ruel,"La musique traditionnelle de PapuaNewGuinea accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie. Interprété par Ngaiire, « Dig » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=v1P0kR8qi8g
Poland,Ready for Battle (Official Video),Roots reggae,Marcus Gad & Tribe,"La musique traditionnelle de Marcus Gad accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie.",https://www.youtube.com/watch?v=WY2PFRgHVK4
DemRepKorea,Nocturne Op. 9 No. 2 (Rubinstein),Classical piano,Arthur Rubinstein,"Le répertoire folk de Poland est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Frédéric Chopin, « Nocturne Op. 9 No. 2 » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=YGRO05WcNDk
Paraguay,My Country is the Best,Traditional / Folk,Moranbong Band,"La musique traditionnelle de DemRepKorea s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Moranbong Band, « My Country is the Best » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=l-kuOwUAHIQ
Palestine,Luis Alberto del Paraná,Traditional / Folk,Galopera,"La musique traditionnelle de Paraguay reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Galopera, « Luis Alberto del Paraná » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=gUBbU67On4o
Qatar,Intro To Shamstep,Shamstep / electro-dabke,47SOUL,"La musique traditionnelle de Palestine s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par 47Soul, « Intro to Shamstep » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=jgEiIXay4rY
Romania,Batalna (بطّلنا),Khaleeji pop,Fahad Al Kubaisi,"La musique traditionnelle de Qatar s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Batalna, « Fahad Al Kubaisi » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=RPlPFFyydzg
Rwanda,Born To Be Wild,Balkan brass,Fanfare Ciocărlia,"Le répertoire folk de Romania est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Fanfare Ciocărlia, « Born to be Wild » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=gcshUcJzdaE
Western Sahara,Rwanda,Rwandan pop / folk,Cécile Kayirebwa,"Les musiques traditionnelles de Rwanda reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Cécile Kayirebwa, « Rwanda » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=Efrx15phCk4
SaudiArabia,Lagi,Sahrawi / desert blues,Aziza Brahim,"Les musiques traditionnelles de Western Sahara reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Aziza Brahim, « Lagi » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=kG4OX8uQpI0
Sudan,Ahad Saal Aani (أحد سأل عني),Arabic pop (Khaliji),Mohammed Abdo,"La musique traditionnelle de SaudiArabia s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Mohammed Abdu, « Dimensions » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=rb8cG1bwW8Y
SouthSudan,Ya Watan (Official Video),East African retropop / Nubian,Alsarah & The Nubatones,"Les musiques traditionnelles de Sudan reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Alsarah & The Nubatones, « Ya Watan » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=0PX8xca4-5E
Senegal,We Want Peace,Hip-hop / Afro-fusion,Emmanuel Jal,"Les musiques traditionnelles de SouthSudan reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Emmanuel Jal, « Wuar Na » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=kuQhgdtLNxo
SierraLeone,7 Seconds,World pop / mbalax-pop,Youssou N'Dour ft. Neneh Cherry,"Les musiques traditionnelles de Senegal reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Youssou N'Dour, « 7 Seconds » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=wqCpjFMvz-k
ElSalvador,My Lovely Elizabeth,Palm-wine / highlife,S.E. Rogie,"Les musiques traditionnelles de SierraLeone reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par S.E. Rogie, « My Lovely Elizabeth » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=DahY4zJzhKY
Serbia,El Carbonero,Cumbia salvadoreña,Los Hermanos Flores,"La musique traditionnelle de ElSalvador reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Álvaro Torres, « Nada se compara contigo » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=DNN5L3atyX0
Suriname,Tamo Daleko,Folk / chanson patriotique,HAUSER,"Le répertoire folk de Serbia est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Marija Šerifović, « Molitva » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=gXi60icCUS0
Slovakia,Na Wan Ray,Kaseko,Kaseko Rhythm Allstars,"La musique traditionnelle de Suriname reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Lieve Hugo, « Blaka Rosoe » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=g_2_Tz_PmLA
Slovenia,Na Kráľovej holi,Folk rock,KOLLÁROVCI,"Le répertoire folk de Slovakia est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Marika Gombitová, « Vyznanie » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=2VXUITOgPhE
Sweden,V dolini tihi,Narodna (polka/valček),Ansambel Lojzeta Slaka,"Le répertoire folk de Slovenia est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Laibach, « Tanz mit Laibach » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=MxUkZ1vo7v4
Swaziland,Vem kan segla förutan vind,Folk suédois (berceuse),Chanson suédoise,"Artiste et activiste Samie, elle utilise le hip-hop pour dénoncer l'exploitation minière sur les terres ancestrales de Laponie et le racisme systémique.",https://www.youtube.com/watch?v=dJwdWTJrxmI
Syria,Makoti,Swazi hip-hop / Afro,Lyrikal Busta,"Les musiques traditionnelles de Swaziland reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Sands, « Tigi » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=IYuLJ9y8WcY
Chad,Ya Mal El Sham,Tarab / Qudud Halabiya,Sabah Fakhri,"La musique traditionnelle de Syria s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Sabah Fakhri, « Khayrat el-Shamiyeh » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=BqwtW2gEXvU
Togo,Solal,Electro-afro / afrofuturisme,AfrotroniX,"Les musiques traditionnelles de Chad reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Maître Gazonga, « Les Jaloux Saboteurs » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=Awc3d5S5HRM
Thailand,Fetou,Afropop (Togo),King Mensah,"Les musiques traditionnelles de Togo reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Bella Bellow, « Zelie » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=QepLHzqG-pU
Tajikistan,ลำเพลิน ขุนช้างขุนแผน (Lam Ploen),Molam / Lam Ploen,Sin I-san Molam Troupe,"La musique traditionnelle de Thailand s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Bird Thongchai, « Prik Kee Noo » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=JGSsZG5NDK0
Turkmenistan,Gijdalla (Live Performance),Pop tadjike,Shabnam Surayo & Shavkat Umarov,"La musique traditionnelle de Tajikistan s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Shabnam Surayo, « Azizam » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=XDW9d9kCUts
Timor-Leste,Humarala (Dutar),Dutar instrumental,Oghlan Bakhshi,"La musique traditionnelle de Turkmenistan s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Gulshat Gurdowa, « Turkmenistan » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=exlZCSNrboY
Tunisia,Tebe Dahur Salala,Tebe (danse),Tebe Dahur group,"La musique traditionnelle de Timor-Leste s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Teo Batiste Ximenes, « Timor-Leste » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=JBX2KuCnuDU
Turkey,Kelmti Horra,Chanson engagée,Emel Mathlouthi,"Les musiques traditionnelles de Tunisia reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Anouar Brahem, « Le Pas du Chat Noir » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=wJ79iEfus8E
