Id,Nation,Nom,Ingredients,GoodAdress,History,CreationDate,Price,Diet,link
70,Italy,Risotto alla milanese,"Riz arborio, safran, bouillon, parmesan, beurre","Le Marché Risotto alla milanese — Rome, Italy","Risotto alla milanese est un plat traditionnel associé à Italy. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Végétarien,https://www.196flavors.com/fr/?s=Risotto+alla+milanese
71,Jamaica,Ackee and saltfish,"Ackee, morue salée, oignon, poivron, tomate, épices",La Parrilla Ackee and saltfish — Jamaica,"Ackee and saltfish est un plat traditionnel associé à Jamaica. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Poisson,https://www.196flavors.com/fr/?s=Ackee+and+saltfish
72,Jordan,Mansaf,"Agneau, yaourt jameed, riz, pignons, épices",Silk Road Mansaf — Jordan,"Mansaf est un plat traditionnel associé à Jordan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Viande halal,https://www.196flavors.com/fr/?s=Mansaf
73,Japan,Okonomiyaki,"Chou, pâte, œufs, sauce, bonite (option)","Maison du Levant Okonomiyaki — Tokyo, Japan","Okonomiyaki est un plat traditionnel associé à Japan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Poisson,https://www.196flavors.com/fr/?s=Okonomiyaki
74,Kazakhstan,Beshbarmak,"Viande (cheval/bœuf), pâtes, oignon, bouillon",Silk Road Beshbarmak — Kazakhstan,"Beshbarmak est un plat traditionnel associé à Kazakhstan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande halal,https://www.196flavors.com/fr/?s=Beshbarmak
75,Kenya,Ugali & sukuma wiki,"Farine de maïs, eau, chou kale, oignon, tomate","Le Baobab Ugali & sukuma wiki — Nairobi, Kenya","Ugali & sukuma wiki est un plat traditionnel associé à Kenya. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Ugali+%26+sukuma+wiki
76,Kyrgyzstan,Lagman,"Nouilles, viande, poivron, tomate, oignon, épices",Le Bazar Lagman — Kyrgyzstan,"Lagman est un plat traditionnel associé à Kyrgyzstan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Viande halal,https://www.196flavors.com/fr/?s=Lagman
77,Cambodia,Amok trey,"Poisson, lait de coco, kroeung, œuf, feuilles de bananier",Maison du Levant Amok trey — Cambodia,"Amok trey est un plat traditionnel associé à Cambodia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Poisson,https://www.196flavors.com/fr/?s=Amok+trey
78,Republic of Korea,Bibimbap,"Riz, légumes, œuf, gochujang (option viande)",Saffron Bibimbap — Republic of Korea,"Bibimbap est un plat traditionnel associé à Republic of Korea. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Bibimbap
79,Kuwait,Machboos,"Riz, poulet/agneau, tomate, épices, citron séché",Jade Machboos — Kuwait,"Machboos est un plat traditionnel associé à Kuwait. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande halal,https://www.196flavors.com/fr/?s=Machboos
80,LaoPDR,Laap,"Viande hachée, menthe, citron vert, riz grillé, herbes",Saffron Laap — LaoPDR,"Laap est un plat traditionnel associé à LaoPDR. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande,https://www.196flavors.com/fr/?s=Laap
81,Lebanon,Tabbouleh,"Persil, boulgour, tomate, oignon, menthe, citron",Le Caravanserail Tabbouleh — Lebanon,"Tabbouleh est un plat traditionnel associé à Lebanon. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Vegan,https://www.196flavors.com/fr/?s=Tabbouleh
82,Liberia,Palava sauce,"Feuilles vertes, huile de palme, oignon, piment, aubergine",Le Baobab Palava sauce — Liberia,"Palava sauce est un plat traditionnel associé à Liberia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Palava+sauce
83,Libya,Bazin,"Pâte d’orge, sauce tomate, épices, viande (option)",Le Kilimandjaro Bazin — Libya,"Bazin est un plat traditionnel associé à Libya. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande halal,https://www.196flavors.com/fr/?s=Bazin
84,SriLanka,Kottu roti,"Roti haché, légumes, œuf, épices, poulet (option)",Golden Wok Kottu roti — SriLanka,"Kottu roti est un plat traditionnel associé à SriLanka. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande,https://www.196flavors.com/fr/?s=Kottu+roti
85,Lesotho,Papa & moroho,"Bouillie de maïs, légumes verts, oignon, tomate",Teranga Papa & moroho — Lesotho,"Papa & moroho est un plat traditionnel associé à Lesotho. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Papa+%26+moroho
86,Lithuania,Cepelinai,"Pommes de terre, farce viande, crème, lardons (option)",Chez Grand-Mère Cepelinai — Lithuania,"Cepelinai est un plat traditionnel associé à Lithuania. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande,https://www.196flavors.com/fr/?s=Cepelinai
87,Luxembourg,Gromperekichelcher,"Pommes de terre, oignon, persil, œuf, farine",La Table Gromperekichelcher — Luxembourg,"Gromperekichelcher est un plat traditionnel associé à Luxembourg. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Gromperekichelcher
88,Latvia,Pelēkie zirņi,"Pois gris, oignon, lardons (option), beurre",La Table Pelēkie zirņi — Latvia,"Pelēkie zirņi est un plat traditionnel associé à Latvia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande,https://www.196flavors.com/fr/?s=Pel%C4%93kie+zir%C5%86i
89,Morocco,Tajine de légumes,"Légumes, olive, citron confit, épices, huile d’olive","Chez Maman Tajine de légumes — Casablanca, Morocco","Tajine de légumes est un plat traditionnel associé à Morocco. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Vegan,https://www.196flavors.com/fr/?s=Tajine+de+l%C3%A9gumes
90,Moldova,Mămăligă,"Semoule de maïs, fromage, crème, beurre",Chez Grand-Mère Mămăligă — Moldova,"Mămăligă est un plat traditionnel associé à Moldova. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=M%C4%83m%C4%83lig%C4%83
91,Madagascar,Romazava,"Bouillon, brèdes, tomate, oignon, zébu (option)",Le Kilimandjaro Romazava — Madagascar,"Romazava est un plat traditionnel associé à Madagascar. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande,https://www.196flavors.com/fr/?s=Romazava
92,Mexico,Chiles rellenos,"Poblano, fromage, œuf, sauce tomate","Sabor Latino Chiles rellenos — Mexico City, Mexico","Chiles rellenos est un plat traditionnel associé à Mexico. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Chiles+rellenos
93,Macedonia,Tavče gravče,"Haricots, oignon, paprika, huile, laurier",Le Vieux Port Tavče gravče — Macedonia,"Tavče gravče est un plat traditionnel associé à Macedonia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Végétarien,https://www.196flavors.com/fr/?s=Tav%C4%8De+grav%C4%8De
94,Mali,Tiguadèguèna,"Sauce arachide, tomate, oignon, épices, viande (option)","Savane Tiguadèguèna — Bamako, Mali","Tiguadèguèna est un plat traditionnel associé à Mali. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande halal,https://www.196flavors.com/fr/?s=Tiguad%C3%A8gu%C3%A8na
95,Myanmar,Mohinga,"Soupe nouilles, poisson, citronnelle, oignon, œuf",Maison du Levant Mohinga — Myanmar,"Mohinga est un plat traditionnel associé à Myanmar. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Poisson,https://www.196flavors.com/fr/?s=Mohinga
96,Montenegro,Kačamak,"Maïs/pomme de terre, fromage, beurre",Le Marché Kačamak — Montenegro,"Kačamak est un plat traditionnel associé à Montenegro. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Ka%C4%8Damak
97,Mongolia,Buuz,"Raviolis, viande, oignon, ail, pâte",Le Caravanserail Buuz — Mongolia,"Buuz est un plat traditionnel associé à Mongolia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Buuz
98,Mozambique,Matapa,"Feuilles de manioc, arachide, lait de coco, ail",Le Baobab Matapa — Mozambique,"Matapa est un plat traditionnel associé à Mozambique. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Matapa
99,Mauritania,Thieboudienne mauritanien,"Riz, poisson, légumes, tomate, épices",Le Sahel Thieboudienne mauritanien — Mauritania,"Thieboudienne mauritanien est un plat traditionnel associé à Mauritania. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Viande halal,https://www.196flavors.com/fr/?s=Thieboudienne+mauritanien
100,Malawi,Nsima & relish,"Farine de maïs, légumes, tomate, oignon",Le Sahel Nsima & relish — Malawi,"Nsima & relish est un plat traditionnel associé à Malawi. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Nsima+%26+relish
101,Malaysia,Nasi lemak,"Riz coco, sambal, anchois (option), œuf, concombre",Le Caravanserail Nasi lemak — Malaysia,"Nasi lemak est un plat traditionnel associé à Malaysia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande halal,https://www.196flavors.com/fr/?s=Nasi+lemak
102,Namibia,Kapana,"Bœuf grillé, épices, oignon, sauce piment",Le Kilimandjaro Kapana — Namibia,"Kapana est un plat traditionnel associé à Namibia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande,https://www.196flavors.com/fr/?s=Kapana
103,Niger,Dambou,"Couscous de millet, légumes, épices, huile",Le Baobab Dambou — Niger,"Dambou est un plat traditionnel associé à Niger. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Dambou
104,Nigeria,Jollof rice,"Riz, tomate, oignon, épices, poulet (option)","Le Baobab Jollof rice — Lagos, Nigeria","Jollof rice est un plat traditionnel associé à Nigeria. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande halal,https://www.196flavors.com/fr/?s=Jollof+rice
105,Nicaragua,Gallo pinto,"Riz, haricots, oignon, coriandre, épices",La Parrilla Gallo pinto — Nicaragua,"Gallo pinto est un plat traditionnel associé à Nicaragua. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Gallo+pinto
106,Norway,Fårikål,"Agneau, chou, poivre, sel, eau",Le Marché Fårikål — Norway,"Fårikål est un plat traditionnel associé à Norway. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=F%C3%A5rik%C3%A5l
107,Nepal,Dal bhat,"Riz, lentilles, légumes, achar, épices",Le Bazar Dal bhat — Nepal,"Dal bhat est un plat traditionnel associé à Nepal. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Dal+bhat
108,Oman,Shuwa,"Agneau mariné, épices, cuisson lente, riz",Le Bazar Shuwa — Oman,"Shuwa est un plat traditionnel associé à Oman. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande halal,https://www.196flavors.com/fr/?s=Shuwa
109,Pakistan,Biryani,"Riz, poulet/agneau, épices, oignon, yaourt","Saffron Biryani — Lahore, Pakistan","Biryani est un plat traditionnel associé à Pakistan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande halal,https://www.196flavors.com/fr/?s=Biryani
110,Panama,Sancocho,"Soupe poulet, igname, coriandre, oignon",Casa Sancocho — Panama,"Sancocho est un plat traditionnel associé à Panama. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Sancocho
111,Peru,Ceviche,"Poisson, citron vert, oignon rouge, piment, coriandre",El Fogón Ceviche — Peru,"Ceviche est un plat traditionnel associé à Peru. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Poisson,https://www.196flavors.com/fr/?s=Ceviche
112,Philippines,Adobo,"Poulet/porc, vinaigre, sauce soja, ail, laurier",Le Bazar Adobo — Philippines,"Adobo est un plat traditionnel associé à Philippines. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande,https://www.196flavors.com/fr/?s=Adobo
113,PapuaNewGuinea,Mumu,"Viande, tubercules, légumes, cuisson à l’étouffée",Harbour Mumu — PapuaNewGuinea,"Mumu est un plat traditionnel associé à PapuaNewGuinea. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Viande,https://www.196flavors.com/fr/?s=Mumu
114,Poland,Pierogi,"Pâte, pomme de terre-fromage, oignon (ou viande)",La Brasserie Pierogi — Poland,"Pierogi est un plat traditionnel associé à Poland. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Pierogi
115,DemRepKorea,raengmyon de Pyongyang,Ingrédients traditionnels locaux (selon recettes régionales),Golden Wok raengmyon de Pyongyang — DemRepKorea,"Plat traditionnel est un plat traditionnel associé à DemRepKorea. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Variable,https://www.196flavors.com/fr/?s=raengmyon+de+Pyongyang
116,Paraguay,Chipa,"Farine de manioc, fromage, œufs, lait",La Cantina Chipa — Paraguay,"Chipa est un plat traditionnel associé à Paraguay. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Chipa
117,Palestine,Musakhan,"Poulet, sumac, oignon, pain taboon, huile d’olive",Maison du Levant Musakhan — Palestine,"Musakhan est un plat traditionnel associé à Palestine. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande halal,https://www.196flavors.com/fr/?s=Musakhan
118,Qatar,Machboos,"Riz, viande, épices, tomate, citron séché","Jade Machboos — Doha, Qatar","Machboos est un plat traditionnel associé à Qatar. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande halal,https://www.196flavors.com/fr/?s=Machboos
119,Romania,Sarmale,"Chou, farce viande/riz, tomate, épices",La Cantine Sarmale — Romania,"Sarmale est un plat traditionnel associé à Romania. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Sarmale
120,Rwanda,Isombe,"Feuilles de manioc, arachide, oignon, épices",Le Sahel Isombe — Rwanda,"Isombe est un plat traditionnel associé à Rwanda. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Isombe
121,Western Sahara,Couscous sahraoui,"Semoule, légumes, épices, viande (option)",Le Baobab Couscous sahraoui — Western Sahara,"Couscous sahraoui est un plat traditionnel associé à Western Sahara. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande halal,https://www.196flavors.com/fr/?s=Couscous+sahraoui
122,SaudiArabia,Kabsa,"Riz, poulet/agneau, tomate, épices","Le Bazar Kabsa — Riyad, SaudiArabia","Kabsa est un plat traditionnel associé à SaudiArabia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande halal,https://www.196flavors.com/fr/?s=Kabsa
123,Sudan,Ful medames,"Fèves, ail, citron, huile, cumin",Teranga Ful medames — Sudan,"Ful medames est un plat traditionnel associé à Sudan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Vegan,https://www.196flavors.com/fr/?s=Ful+medames
124,SouthSudan,Kisra & mullah,"Galette sorgho, sauce légumes, épices",Chez Maman Kisra & mullah — SouthSudan,"Kisra & mullah est un plat traditionnel associé à SouthSudan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Végétarien,https://www.196flavors.com/fr/?s=Kisra+%26+mullah
125,Senegal,Thieboudienne,"Riz, poisson, légumes, tomate, épices","Savane Thieboudienne — Dakar, Senegal","Thieboudienne est un plat traditionnel associé à Senegal. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Viande halal,https://www.196flavors.com/fr/?s=Thieboudienne
126,SierraLeone,Cassava leaf stew,"Feuilles de manioc, huile, oignon, poisson/viande (option)",La Palmeraie Cassava leaf stew — SierraLeone,"Cassava leaf stew est un plat traditionnel associé à SierraLeone. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande halal,https://www.196flavors.com/fr/?s=Cassava+leaf+stew
127,ElSalvador,Pupusas,"Galette maïs, fromage, haricots, chicharrón (option)",La Cocina Pupusas — ElSalvador,"Pupusas est un plat traditionnel associé à ElSalvador. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Pupusas
128,Serbia,Sarma,"Chou fermenté, farce viande/riz, épices",L'Auberge Sarma — Serbia,"Sarma est un plat traditionnel associé à Serbia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Viande,https://www.196flavors.com/fr/?s=Sarma
129,Suriname,Pom,"Tayer râpé, poulet, agrumes, épices",La Cocina Pom — Suriname,"Pom est un plat traditionnel associé à Suriname. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande halal,https://www.196flavors.com/fr/?s=Pom
130,Slovakia,Bryndzové halušky,"Gnocchis, bryndza, beurre, lardons (option)",La Table Bryndzové halušky — Slovakia,"Bryndzové halušky est un plat traditionnel associé à Slovakia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,6.75,Végétarien,https://www.196flavors.com/fr/?s=Bryndzov%C3%A9+halu%C5%A1ky
131,Slovenia,Kranjska klobasa,"Saucisse, moutarde, pain",L'Auberge Kranjska klobasa — Slovenia,"Kranjska klobasa est un plat traditionnel associé à Slovenia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,9,Viande,https://www.196flavors.com/fr/?s=Kranjska+klobasa
132,Sweden,Köttbullar,"Boulettes, bœuf/porc, crème, airelles",La Brasserie Köttbullar — Sweden,"Köttbullar est un plat traditionnel associé à Sweden. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,2,Viande,https://www.196flavors.com/fr/?s=K%C3%B6ttbullar
133,Swaziland,Sishwala,"Bouillie de maïs, eau, sel, légumes en accompagnement",Teranga Sishwala — Swaziland,"Sishwala est un plat traditionnel associé à Swaziland. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,1.25,Végétarien,https://www.196flavors.com/fr/?s=Sishwala
134,Syria,Fatteh,"Pain pita, pois chiches, yaourt, tahini, pignons",Jade Fatteh — Syria,"Fatteh est un plat traditionnel associé à Syria. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,6,Végétarien,https://www.196flavors.com/fr/?s=Fatteh
135,Chad,Jarret de bœuf sauce,"Bœuf, tomate, oignon, gombo, épices",Le Baobab Jarret de bœuf sauce — Chad,"Jarret de bœuf sauce est un plat traditionnel associé à Chad. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8,Viande halal,https://www.196flavors.com/fr/?s=Jarret+de+b%C5%93uf+sauce
136,Togo,Fufu & sauce arachide,"Manioc/banane plantain, sauce arachide, tomate, oignon",Le Sahel Fufu & sauce arachide — Togo,"Fufu & sauce arachide est un plat traditionnel associé à Togo. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,4.5,Végétarien,https://www.196flavors.com/fr/?s=Fufu+%26+sauce+arachide
137,Thailand,Pad thai,"Nouilles riz, œuf, tofu, cacahuètes, sauce tamarin (option crevettes)","Golden Wok Pad thai — Bangkok, Thailand","Pad thai est un plat traditionnel associé à Thailand. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,7,Poisson,https://www.196flavors.com/fr/?s=Pad+thai
138,Tajikistan,Osh (plov),"Riz, carotte, oignon, agneau, épices",Golden Wok Osh (plov) — Tajikistan,"Osh (plov) est un plat traditionnel associé à Tajikistan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,4.5,Viande halal,https://www.196flavors.com/fr/?s=Osh+%28plov%29
139,Turkmenistan,Ichlekli,"Tourte, viande, oignon, pâte",Maison du Levant Ichlekli — Turkmenistan,"Ichlekli est un plat traditionnel associé à Turkmenistan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,3.5,Viande halal,https://www.196flavors.com/fr/?s=Ichlekli
140,Timor-Leste,Ikan sabuko,"Poisson, tamarin, épices, légumes",Maison du Levant Ikan sabuko — Timor-Leste,"Ikan sabuko est un plat traditionnel associé à Timor-Leste. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,2,Poisson,https://www.196flavors.com/fr/?s=Ikan+sabuko
141,Tunisia,Couscous tunisien,"Semoule, légumes, harissa, pois chiches, viande (option)","Le Baobab Couscous tunisien — Tunis, Tunisia","Couscous tunisien est un plat traditionnel associé à Tunisia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,2,Viande halal,https://www.196flavors.com/fr/?s=Couscous+tunisien
142,Turkey,Lahmacun,"Pâte à pain, viande hachée, poivrons (vert ou rouge), tomates, oignons et épices","Güneşlibahçe Sok. No:26, Caferağa, 34710 Kadıköy/İstanbul, Türkiye","Le lahmacun puise ses origines au cœur du Moyen-Orient. Cette spécialité tant appréciée se consomme déjà par les Assyriens deux mille ans avant J.-C. Des marchands grecs se laissent séduire par cette recette unique et la rapportent dans leur propre pays. Littéralement, lahmacun provient des termes arabes « lahm » (viande) et « macun » (pâte).",2000ans av J-C,1.25,Viande halal,https://www.amourdecuisine.fr/article-lahmacun-recette-authentique-de-pizza-turque.html
143,Taiwan,Beef Noodle Soup,"Bœuf braisé, nouilles de blé, bouillon (sauce soja, pâte de haricots fermentés, ail, gingembre, anis étoilé), légumes verts, coriandre","Din Tai Fung — Taipei, Taiwan","La Beef Noodle Soup est l’un des plats nationaux les plus emblématiques de Taïwan. Introduite par des soldats chinois du Sichuan après 1949, elle a évolué localement pour devenir une spécialité taïwanaise. Le bouillon riche et épicé, combiné au bœuf tendre et aux nouilles épaisses, en fait un plat profondément ancré dans la culture culinaire du pays. Un festival annuel de la soupe de nouilles au bœuf est même organisé à Taipei.","Années 1950, Taipei, Taiwan",4.5,Viande,https://www.196flavors.com/fr/?s=Beef+Noodle+Soup
144,Tanzania,Ugali,"Maïs moulu, eau, sel, parfois haricots ou légumes","Le Repère — Dar es Salaam, Tanzanie","L'ugali est l’aliment de base en Tanzanie et dans toute l’Afrique de l’Est. Préparé à partir de farine de maïs et d’eau, il accompagne traditionnellement divers ragoûts et sauces.",XIXᵉ siècle approximatif,7.5,Autre,https://www.196flavors.com/fr/?s=Ugali
145,Uganda,Matooke (matoke),"Bananes plantains vertes, huile, oignons, tomate","Mucho Bar & Grill — Kampala, Ouganda","Le matooke est un plat traditionnel ougandais fait à base de bananes plantains vertes cuites à la vapeur ou bouillies, souvent réduites en purée et servies avec une sauce.",Culture traditionnelle,15,Végétarien,https://www.196flavors.com/fr/?s=Matooke+%28matoke%29
146,Ukraine,Borscht,"Betterave, chou, carottes, pommes de terre, viande (souvent bœuf), crème aigre","Kanapa — Kiev, Ukraine","Le borscht est une soupe de betterave riche et colorée, emblématique de la cuisine ukrainienne, consommée chaude ou froide et généralement servie avec de la crème aigre.",XVIIIᵉ siècle,3,Viande,https://www.196flavors.com/fr/?s=Borscht
147,Uruguay,Chivito,"Steak de bœuf tranché, jambon, fromage, laitue, tomates, œufs, sauces","La Pasiva — Montevideo, Uruguay","Le chivito est un sandwich très populaire en Uruguay, garni de steak, de jambon, de fromage et souvent complété d’ingrédients variés.",Il est considéré comme le plat national informel.,9,Viande,https://www.196flavors.com/fr/?s=Chivito
148,Uzbekistan,Plov,"Riz, mouton ou bœuf, carottes, oignons, ail, cumin","Caravan — Tachkent, Ouzbékistan","Le plov, ou osh, est un plat de riz traditionel d’Ouzbékistan, souvent préparé avec de la viande et des épices, cuit lentement pour développer des saveurs riches.",Populaire depuis des siècles,11.5,Viande halal,https://www.196flavors.com/fr/?s=Plov
149,Venezuela,Pabellón Criollo,"Riz blanc, haricots noirs, bœuf effiloché, plantains frits","La Casa del Llano — Caracas, Venezuela","Le Pabellón Criollo est considéré comme le plat national vénézuélien, combinant des éléments de riz, haricots, viande et plantains, symbole de la diversité culinaire locale.",XXᵉ siècle,6,Viande,https://www.196flavors.com/fr/?s=Pabell%C3%B3n+Criollo
